url,comment_user,comment_user_url,comment_date,comment,likes_number,replies_number,replies,hashtag_comment,tagged_users_in_comment,post_url,post_user,comment_id,post_id
"https://www.instagram.com/astacaplan","sha███and███","https://www.instagram.com/shalamandala","2024-01-06T15:27:24.000Z","From my experience of working with homeless people it is always good to contact any Association in your area that works for them. Some homeless people are not able to understand  what you are providing to them cos they might have deficiency disorder, like many I have met in Usa. Other have been rejected by the society and can def understand their status and be more willing to take your helps, medication and whatever your provide. Many others are most of the time on drugs and are addicted to it so can be hard for them to even communicate. It is a noble act to support their journey ❤️expecaully on a winter time, but the best things is to always calls someone in your area who are skilled enough to give a shelter. ❤️❤️Thanks for inspiring many of us with your post and noble gesture",1,2,"[{""likes_number"":1,""reply"":""@shalamandala ❤️ I agree on all accounts. With these two individuals however, I had a lovely encounter handing over the little bit of assistance. They are very dignified people despite their experience of hardship."",""reply_date"":""2024-01-06T15:44:55.000Z"",""reply_user"":""astacaplan""},{""likes_number"":1,""reply"":""@astacaplan ❤️❤️❤️❤️❤️ wonderful what you do!"",""reply_date"":""2024-01-06T17:11:59.000Z"",""reply_user"":""shalamandala""}]","null","null","https://www.instagram.com/p/C1uc0ssoxhg","astacaplan","17867947647048208","3273680745853556832"
"https://www.instagram.com/emmachinneryillustration","yas███ngy███d","https://www.instagram.com/yasemingyford","2023-12-21T11:46:27.000Z","❤️👏👏",1,1,"[{""likes_number"":1,""reply"":""Amazin @emmachinneryillustration !!!👏👏😍"",""reply_date"":""2023-12-21T13:54:05.000Z"",""reply_user"":""ilustrajo""}]","null","null","https://www.instagram.com/p/C1HLXl5KcWE","emmachinneryillustration","18036586069717247","3262626454800287108"
"https://www.instagram.com/coffeebrigadebrisbane","hav███ack███mpe███","https://www.instagram.com/haversack_hampers","2023-11-03T04:29:18.000Z","Fantastic result - well done to all involved…..and absolute joy to see the reaction of the Bali Holiday winner 😍",1,1,"[{""likes_number"":0,""reply"":""@haversack_hampers Thank you so much! We love the photo so much too💙"",""reply_date"":""2023-11-03T07:04:06.000Z"",""reply_user"":""coffeebrigadebrisbane""}]","null","null","https://www.instagram.com/p/CzImm98RPe1","coffeebrigadebrisbane","18399567835006321","3226998936627902389"
"https://www.instagram.com/one_veterans_ireland","not███i_0███8","https://www.instagram.com/notanki_01728","2024-03-30T11:47:15.000Z","ꇙᗴᑎᗪ<to this ♂️4⁷@thementalhealth_family",1,0,"[]","null","[""@th███nta███alt█████████""]","https://www.instagram.com/p/C5Ix4a-Mnag","one_veterans_ireland","18045519622589079","3335134905598375584"
"https://www.instagram.com/jayepegphotography","sam███ha_███sta██████","https://www.instagram.com/samantha_winstanley","2023-12-13T13:00:17.000Z","This is actually the true spirit of Christmas, to give to the needy - not greedy consumerism. Donating to charity, quality moments with loved ones, and hand made gifts are the way forward.",2,1,"[{""likes_number"":1,""reply"":""@samantha_winstanley definitely, couldn’t agree more 😊👍"",""reply_date"":""2023-12-13T13:18:48.000Z"",""reply_user"":""jayepegphotography""}]","null","null","https://www.instagram.com/p/C0ySUDWMnDB","jayepegphotography","17870004396022319","3256746023362654401"
"https://www.instagram.com/recoveryrunners","nic███mur███313███","https://www.instagram.com/nicolamurphy313","2023-12-05T06:17:37.000Z","This is amazing well to everyone involved 🙏💪🧡",1,4,"[{""likes_number"":1,""reply"":""@recoveryrunners even though I’m not in recovery I will do ! When I’m not working and I’ll bring a couple of friends too I think it’s amazing what you are all doing and well done everyone 🧡🙏"",""reply_date"":""2023-12-05T06:48:35.000Z"",""reply_user"":""nicolamurphy313""},{""likes_number"":1,""reply"":""@nicolamurphy313 Getting out in the fresh air, running helps anyone’s state of mind so everyone is welcome. I’ve seen on your profile you like the outdoors so you know the benefits ☺️ Hopefully we will see you one week. Have a great day 🙏🏻"",""reply_date"":""2023-12-05T06:51:01.000Z"",""reply_user"":""recoveryrunners""},{""likes_number"":1,""reply"":""@recoveryrunners yes it definitely is, I sure do love the outdoors 🏔️I have an ultra I’m training for so will definitely join you’s one weekend and connect have a lovely day 🙏"",""reply_date"":""2023-12-05T07:10:58.000Z"",""reply_user"":""nicolamurphy313""}]","null","null","https://www.instagram.com/p/C0ZBQT-swIB","recoveryrunners","17990793797268421","3249634125135675905"
"https://www.instagram.com/offyellowradio","and███bri███eyd██████","https://www.instagram.com/andrewbrindleydavies","2023-11-09T21:32:20.000Z","BRAVO Dan!🔥",2,1,"[{""likes_number"":0,""reply"":""@andrewbrindleydavies hehe thanks 😉"",""reply_date"":""2023-11-10T16:33:02.000Z"",""reply_user"":""offyellowradio""}]","null","null","https://www.instagram.com/p/CzYR-xPOveB","offyellowradio","17957825957559425","3231411812905449345"
"https://www.instagram.com/thebadstenographer","dav███een███","https://www.instagram.com/davegreen63","2024-05-09T13:55:55.000Z","Well written 👏✊",1,1,"[{""likes_number"":1,""reply"":""@davegreen63 Thanks, Dave ❤️"",""reply_date"":""2024-05-09T15:05:35.000Z"",""reply_user"":""thebadstenographer""}]","null","null","https://www.instagram.com/p/C6vx4TEuDca","thebadstenographer","17905555199966364","3364126819719067418"
"https://www.instagram.com/allpeopleallplaces","kaz███erm███","https://www.instagram.com/kazackerman","2023-12-12T17:26:41.000Z","Love this very clever and innovative campaign from @allpeopleallplaces please donate if you can to help those facing forced eviction this winter  allpeopleallplaces.org/eviction.",1,0,"[]","null","[""@al███opl███lpl██████""]","https://www.instagram.com/p/C0wWZZ7IOV0","allpeopleallplaces","17922196601740505","3256201033434588532"
"https://www.instagram.com/say.my.name.film","liv███exp███sio██████","https://www.instagram.com/livingexpressions.au","2023-11-14T05:34:04.000Z","Yay! We finally hit the Australian shores 🙌🇦🇺💜",3,1,"[{""likes_number"":1,""reply"":""@livingexpressions.au good things are worth waiting for ✨"",""reply_date"":""2023-11-14T08:12:11.000Z"",""reply_user"":""say.my.name.film""}]","null","null","https://www.instagram.com/p/CzmyRAPJkMi","say.my.name.film","17936203583659121","3235494453123105570"
