Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
torrid,"
            Torrid Vibrant Mama Pink Tee Sz 2 NWT
          ","
              C$12
            ","
              Torrid Size 2
            ","
          Classic fit
Soft
50% Polyester
37% Cotton
13% Rayon
        ","Price Dropped: 14%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink",https://di2ponv0v5otw.cloudfront.net/posts/2022/07/04/62c371959b5a4dc82cdbfe83/s_62c371b0c693bdd96376f59a.jpg,857,400+,1 day,100+,https://poshmark.ca/listing/Torrid-Vibrant-Mama-Pink-Tee-Sz-2-NWT-62c371959b5a4dc82cdbfe83
Kappa,"
            Girls Kappa t-shirt
          ","
              C$6
            ","
              US XL (Girl)
            ","
          In used good-fair condition

Kappa sizing sometimes runs smaller than usually. Please check measurements.

Materials
Shell
100% cotton 

Rib
97% cotton
3% spandex 

Measurements 
Length: 22.5 inches 
Armpit to armpit: 16.5 inches 
Sleeve length: 5 inches

Size XL
        ","Seller Discount: 10% off 3+ Bundle, Price Dropped: 14%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2023/12/06/657072557f29dd311b011fd2/s_66bd6095c38372e33235a262.jpg,322,100+,1 day,41,https://poshmark.ca/listing/Girls-Kappa-tshirt-657072557f29dd311b011fd2
Cami NYC,"
            NWOT Cami NYC black & white gingham print shorts
          ","
              C$125
            ","
              US S
            ","
          NWOT never worn Cami NYC black and white gingham print shorts
Size S
**  Please note: no care label or fabric composition label attached  **

* Only the shorts are for sale *

Cami NYC Matilda shorts
Black mini gingham
Black and white small gingham print

High waisted
Hidden zipper and hook & eye closure at centre back
Waistband elasticized at the sides
Fully lined

100% silk

Please note: no care label or fabric composition label
Dry clean and steam only (according to Cami NYC website)

Please expect colour variation due to lighting

Due to the delicate nature of this item & its fabrication, please expect some uniqueness, surface variations / differences, imperfections, pulls or pilling


Stock photos: Garmentory, Nordstrom, Editorialist
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, White, N/A, N/A, N/A",N/A,3374,1500+,1 day,100+,https://poshmark.ca/listing/NWOT-Cami-NYC-black-white-gingham-print-shorts-610b64d3cc9aa2046e439142
Criquet,"
            Criquet Mens Button Down Shirt Top Blue Mesh  Short Sleeve Golf Cotton Nylon XL
          ","
              C$21
            ","
              US XL
            ","
          - EUC - Excellent Used Condition - no signs of visible wear - see photos for reference

- Measurements: All measurements are taken laying flat, provided in the photos.

- Questions: Let me know if you have any, I would be happy to answer them!
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue, White, N/A, N/A",N/A,6195,4000+,1 day,100+,https://poshmark.ca/listing/Criquet-Mens-Button-Down-Shirt-Top-Blue-Mesh-Short-Sleeve-Golf-Cotton-Nylon-XL-669fc693e34c308226b9033a
J. Jill,"
            J Jill 100% Pima Cotton Tunic length tee T-Shirt BLACK Medium M
          ","
              C$25
            ","
              US M
            ","
          J. Jill
Tunic length Tee T-Shirt
Black
100% Pima Cotton 
Medium M
Elbow sleeve (sleeves come to the elbow - not over)
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black",N/A,2298,1800+,1 day,100+,https://poshmark.ca/listing/J-Jill-100-Pima-Cotton-Tunic-length-tee-TShirt-BLACK-Medium-M-66df02a38e40fdd33b646a98
Vintage,"
            Vintage Silk Sequin Beaded Iridescent Puff Pleated Short Sleeve Button Up Blouse
          ","
              C$135
            ",N/A,"
          Vintage Silk Sequin Beaded Iridescent Puffed Poof Pleated Short Sleeve Button Up Blouse Cardigan Top

Made in Japan

Hook and eye button-up style

No material tag but I'm positive the lining is 100% silk based on the texture, and look

Beautiful periwinkle purple blue green shimmery shiny reflective rainbow colors

No size tag but can fit a size L, M, or S depending on your desired fit. Listed under all sizes but only selling the one shirt

Excellent 9.5/10 pre-owned vintage condition. A few missing beads on the back of the collar but it is unnoticeable when being worn






Style Tags:

New Years Eve, NYE Party, Poofed, Vintage, MCM, Mid-Century Modern, Mod, Preppy, Dark or Light Academia, European, Quiet Luxury, Understated Luxe, Sophisticated, Classic, Old Money, Coastal, Beach, Resort, Resortwear, Vacation, Travel, Nautical, Light, Lightweight, Tropical, Exotic, White Lotus Aesthetic, Funky, Fun, Bright, Bold, Statement, Saturated, Rainbow, Artsy, Art, Indie, Playful, Maximalism, Flamboyant, Vibrant, Disco, Whimsical, Victorian, Fairycore, Fairy, Mermaidcore, Mermaid, Princess, Royal, Story Book, Fantasy, Romantic, Cute, Twee, Bridgerton, Regency, Hippie, Bohemian, Boho, Sexy, Baddie, Hot, Trendy, Going Out, Party, Club, Clubbing, Dancing, Date Night, Barbie, Barbiecore, Coquette, Glam, Fancy, Dress Up, Dance, Event, Dressy, Modern, Glamorous, Avant-Garde, Semi-Formal, Cocktail Party, Wedding Guest, Unique, Effortless, Parisian, Crop, Cropped, Spring, Summer, Fall, Winter
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Purple, Blue, N/A, N/A, N/A",N/A,9053,4200+,2 days,100+,https://poshmark.ca/listing/Vintage-Silk-Sequin-Beaded-Iridescent-Puff-Pleated-Short-Sleeve-Button-Up-Blouse-661aa616c4b73ad0e7d15431
The Golden Girls,"
            The Golden Girls Stay Golden Graphic Short Sleeve Shirt
          ","
              C$35
            ","
              US XS
            ","
          The Golden Girls Stay Golden Graphic Short Sleeve Shirt 
The Golden Girls, t-shirt, short sleeve 
88% cotton, 12% polyester 
Size XS 
Great condition 

Measurements 
20” Pit-to-Pit 
32” Long 

Great shirt for those fans of The Golden Girls! 

🥰Bundle to save more🥰
        ",N/A,"N/A, N/A, N/A, Gray, Pink, N/A, N/A, N/A",N/A,1717,1400+,1 day,100+,https://poshmark.ca/listing/The-Golden-Girls-Stay-Golden-Graphic-Short-Sleeve-Shirt-669ff5eddc327d37d54fd969
Disney,"
            NWT STAR  WARS T-shirt size S
          ","
              C$10
            ","
              US S
            ","
          NWT Star Wars size S
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black, Orange",N/A,1423,500+,1 day,56,https://poshmark.ca/listing/NWT-STAR-WARS-Tshirt-size-S-66e5d0e4ba3d48d9dd084cc3
Vans,"
            Vans Swim Board Shorts Tropical Print Size 28
          ","
              C$15
            ","
              US 28
            ","
          Fabric: 90% polyester, 10% elastane
Colour: Multi-colour tropical print
Style: Board shorts
Size: 28W
Condition: Good (pre-loved), no damage, wear or tears. Comes from a smoke-free home.
Brand: Vans

Feel free to reach out for more details!
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, Black, N/A, N/A, N/A",N/A,154,90+,1 day,6,https://poshmark.ca/listing/Vans-Swim-Board-Shorts-Tropical-Print-Size-28-66bff11d74cb47e617dbefd9
Fruit of the Loom,"
            Fruit of the Loom Custom Graphic Novelty Tee T-shirt Normal People Scare Me NIP
          ","
              C$25
            ","
              US L
            ","
          👕  Novelty statement t-shirt, ""Normal People Scare Me"", all cotton tee made by Fruit of the Loom
Features: short sleeve, colourful personally designed graphic, double stitched hemline, and sleeves, stretch fabric
Colour: White, black, yellow, orange, red, blue
Fabric: 100% Cotton
Made: Honduras
Care: Machine washable
Size: US Large
Approximate Measurements: Chest 44"" [unstretched], Length 29""
Please note 👉🏼 approximate measurements are provided as a courtesy and are not a guarantee of fit. Please ask questions if you are unsure.
Condition: New in package, never worn, with packaging sticker

# 0009

  🛍 🎀 Bundle items from my Closet - Pay only one shipping fee! 🎀 🛍
  🎪 Posh Ambassador 📦 Same Day Shipping 🚭 Smoke-Free Home 🌟 Top Rated Seller
💰 New to Poshmark Canada? Sign up with code PRINCESSLABELS and save $15 on your first purchase.
 
Artsy, Biker, Comfortable, Cruelty Free, Earth friendly, Grunge, Hippie, Minimalist, New York, Novelty Tee, Punk, Simple, Southern, Streetwear, Sustainable, Timeless, Trending, Unisex, Work,
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, White, Gold, N/A, N/A, N/A",N/A,1975,800+,1 day,100+,https://poshmark.ca/listing/Fruit-of-the-Loom-Custom-Graphic-Novelty-Tee-Tshirt-Normal-People-Scare-Me-NIP-66c26bba9b37c79daccfe588
Jones New York,"
            Jones New York Thin Knit Blue White Cotton Short Sleeve Button Down Blouse Sz. M
          ","
              C$26
            ","
              US M
            ","
          This blouse is made of thin and very soft knitted fabric. It will look stunning on you if you  combine it with black or white bottoms. 

The blouse is fitted and features 4 oversized buttons and geometric patterns in white,  blue, and midnight blue. 

Could be worn with skirts or trousers in office environments or casually with jeans. The first button is just below the breastbone. Cami is recommended for business like occasions.

Great for summer. 

Size M
Approximate measurements laying flat:
Pit to Pit 19"", Length 22""

99% cotton 
1% other 

In excellent pre-owned condition. Smoke and pet free home. Colors are consistent - inconsistency on some photos is due to shadows. 

tags: stylish, summer, office, professional, business, casual, sport, universal, feminine
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue, White, N/A, N/A, N/A",N/A,290,50+,1 day,14,https://poshmark.ca/listing/Jones-New-York-Thin-Knit-Blue-White-Cotton-Short-Sleeve-Button-Down-Blouse-Sz-M-6672454f896c3819e4e0147a
Kingstree Classic,"
            Kingstree Classic Mt Rainier National Park (M, fits S)
          ","
              C$20
            ","
              M fits S, see measurements
            ","
          NOTE:
A majority of items are second hand, please refer to photos for additional details (ie. stains, rips, holes, etc)

size:
M, fits S
refer to photos for measurements

condition:
used
single stitch 
hole to front 
fading to print 

follow us at @612archived on IG for more!
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, N/A, N/A",N/A,797,300+,1 day,30,https://poshmark.ca/listing/Kingstree-Classic-Mt-Rainier-National-Park-M-fits-S-66b6bae9027427ecf51c00f0
Mossimo Supply Co.,"
            𝅺WOMEN'S Mossimo Supply Co. Jeans Size 7 short bootcut
          ","
              C$22
            ","
              US 6
            ","
          Great used condition pair of Mossimo women's jeans.  Size is 7 short.  Inseam is 30""

Some distressing as indicated in photos.

Thanks for checking out my closet.
        ","Seller Discount: 10% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, N/A, N/A, N/A",N/A,980,500+,1 day,70,https://poshmark.ca/listing/WOMENS-Mossimo-Supply-Co-Jeans-Size-7-short-bootcut-66be9e5fe48e86ac92323bba
O'Neill,"
            O’Neill men’s board shorts
          ","
              C$30
            ","
              38”
            ","
          O’Neill men’s board shorts

Navy and a dark mint
One side zip pocket
No tears
No pilling
Only marks noted are very faint (see pics)
Logo intact 

Bundle & save even more. Loads of clothes, books, games & puzzles in my closet. 🧩📚🎲

🔝rated seller
💌 Quick shipper
🌟 Posh Ambassador 
😀 Service with a smile
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue, Orange",N/A,8309,5000+,1 day,100+,https://poshmark.ca/listing/ONeill-mens-board-shorts-62b66bb4ac970269ab7c8827
hyba,"
            NWT  Hyba purple space dye vneck athletic workout shirt medium
          ","
              C$21
            ","
              US M
            ","
          Gym running activewear tshirt 

Brand new with tags and no flaws. Size is medium on the tag, check measurements below. 

Armpit to Armpit: 17""
Back of Collar to bottom of hem: 26""

Bundle for steep discounts, please check your measurements!  ☺️
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Purple, Black, N/A, N/A, N/A",N/A,8451,4400+,2 days,100+,https://poshmark.ca/listing/NWT-Hyba-purple-space-dye-vneck-athletic-workout-shirt-medium-6642618b28e1e02a9a752006
Bella Canvas,"
            Bella Canvas T-Shirt
          ","
              C$9
            ","
              US S
            ","
          Excellent condition 

Size small (unisex, but I would say it fits more like a slim women’s t-shirt)

T-shirt is very long 

Golden yellow colour
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Yellow, Gold, N/A",N/A,382,100+,1 day,17,https://poshmark.ca/listing/Bella-Canvas-TShirt-66ba0b071985246158878e68
Lord & Taylor,"
            LORD & Taylor 100% linen shorts
          ","
              C$25
            ","
              US S
            ","
          Cream pull on shorts
2 pockets
elastic and drawstring waist
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, Cream, N/A, N/A, N/A",N/A,1782,1300+,1 day,100+,https://poshmark.ca/listing/LORD-Taylor-100-linen-shorts-669da19f8fa20712e722bc46
N/A,"
            Boys solid blue swim shorts
          ","
              C$10
            ","
              US 4T (Boy)
            ","
          Boys solid blue swim shorts
Side pocket (see photo)
Excellent like new condition
        ","Seller Discount: 10% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue",N/A,475,200+,1 day,37,https://poshmark.ca/listing/Boys-solid-blue-swim-shorts-61083a3d275e555244384cb5
Youth Apparel,"
            Pepsi Graphic Vintage Tee Cartoon Loose Short Sleeve
          ","
              C$25
            ","
              US S
            ","
          Pepsi Graphic Tee Short Sleeve Shirt
Pepsi, lounge, loose, loose-fitting, comfy, lightweight, slouchy, shirt sleeve, graphic tee, stretch, scoop neck, slouchy, basic tee, lounge, vintage
90% cotton, 10% polyester 
Size small
Excellent condition
*Measurements are in the photo*

This classic comfortable Pepsi tee adds that extra comfort we're all looking for right now. Make sure you have a good ol' ice cold Pepsi while wearing this ... maybe during a sunny summer day!

🥰Bundle to save more🥰

Posh Ambassador II 😊
Top-Seller, over 1,000 items sold ✅
Fast Shipper, no more than a day for packing and shipping 🚙
Top-Rated Seller, 4.9 ⭐️

First time on Poshmark? Use POLISHPOSHER on signing up and receive $15.00 of Poshmark Credit toward your first purchase! 😍
        ",N/A,"N/A, N/A, N/A, Gray, Blue, N/A, N/A, N/A",N/A,1717,1400+,1 day,100+,https://poshmark.ca/listing/Pepsi-Graphic-Vintage-Tee-Cartoon-Loose-Short-Sleeve-66ba92142839bcf2359b5c8c
Juicy Couture,"
            5 for 30$ JUICY COUTURE KIDS  girls size 10 long Tshirt
          ","
              C$14
            ","
              US 10 (Girl)
            ","
          JUICY COUTURE girls size 10 long Tshirt

Box A
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A",N/A,765,500+,1 day,47,https://poshmark.ca/listing/5-for-30-JUICY-COUTURE-KIDS-girls-size-10-long-Tshirt-66e4a95874cb47731a89df50
Lemlem,"
            lemlem X H&M Short Pink Linen Dress NWT
          ","
              C$180
            ","
              US XL
            ","
          Beautiful dress
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, Pink, Cream",N/A,7124,6500+,2 days,100+,https://poshmark.ca/listing/lemlem-X-HM-Short-Pink-Linen-Dress-NWT-66cfa4b0693ff7471449a4dc
O'Neill,"
            O’Neill men’s board shorts
          ","
              C$30
            ","
              30”
            ","
          O’Neill men’s board shorts

Grey and white
One back Velcro pocket 
No tears
No pilling
Logo intact 

Bundle & save even more. Loads of clothes, books, games & puzzles in my closet. 🧩📚🎲

🔝rated seller
💌 Quick shipper
🌟 Posh Ambassador 
😀 Service with a smile
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Gray, White",N/A,8309,5000+,1 day,100+,https://poshmark.ca/listing/ONeill-mens-board-shorts-65d9453a4bf9ffa207f7365c
George,"
            Denim shorts with folded bottom
          ","
              C$10
            ","
              US 7 (Girl)
            ","
          Cute and stylish girls denim shorts with folded bottom detail.  
Adjustable waist band, zipper fly, two pockets in front and two pockets in back. 

71% cotton
28% polyester 
1% spandex 

Measurements 12” length/ 12” waist 

From no smoking/no pet household
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, N/A, N/A",N/A,44,5,1 day,--,https://poshmark.ca/listing/Denim-shorts-with-folded-bottom-66e5f758c4b73a5cbaaa9e6f
adidas,"
            Adidas Cumacool T-shirt Sz S
          ","
              C$16
            ","
              US S
            ","
          In like new condition.  Breathable nylon material.  B03
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink, White",N/A,505,100+,1 day,11,https://poshmark.ca/listing/Adidas-Cumacool-Tshirt-Sz-S-66a5071ce8638022d4e45c2d
Fanatics,"
            NWT Toronto Maple Leafs Tshirt
          ","
              C$27
            ","
              US L (Boy)
            ","
          Fanatics brand
Size Youth L
Blue colour
Has tags
        ","Price Dropped: 10%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue",N/A,1379,300+,1 day,42,https://poshmark.ca/listing/NWT-Toronto-Maple-Leafs-Tshirt-6676306e47c1303f54ce5bad
725 Original,"
            Original  725 T-Shirt
          ","
              C$15
            ","
              US 3X
            ","
          📦 All orders ship next business day! 📦

✨Y2K ✨
725 Original Casual T-Shirt

Condition:
Used

Colour:
Grey

Size:
3x


725 Original casual short sleeve t-shirt with buttons and cute little pockets. Can be used as a cardi.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Gray, N/A, N/A",N/A,107,5+,2 days,1,https://poshmark.ca/listing/Original-725-TShirt-66e81fcb9e4f7444fc7a9de5
Old Navy,"
            BOYS graphic‎ t-shirt
          ","
              C$7
            ","
              US XL (Boy)
            ","
          Never meet the dryer.
Armpit to armpit: 18 in
Lenght: 24 in

Bundle and save on kids clothings!

Smoke free home.

Do you 🖤 it???
        ","Seller Discount: 10% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Yellow, Blue",N/A,1506,600+,1 day,100+,https://poshmark.ca/listing/BOYS-graphic-tshirt-66d2f7fd4fbbfdcb23c388a3
